SDS 2.4	AQ Results	1.0
Filename	WT Keio OD 05 Primer mix 4 replica
PlateID	
Assay Type	Absolute Quantification
Run DateTime	1.08.20 15:13:57
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
287	L23	SYBR	SYBR	Unknown	22.532799	89.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
308	M20	SYBR	SYBR	Unknown	20.917217	82.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
309	M21	SYBR	SYBR	Unknown	21.222054	82.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
310	M22	SYBR	SYBR	Unknown	20.592398	82.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
311	M23	SYBR	SYBR	Unknown	20.33541	82.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.028106883													
Slope		cycles/log decade
Y-Intercept		
R^2		



NAP	LPL
	
