SDS 2.4	AQ Results	1.0
Filename	17_07_2020_wtBW_rtQpcr
PlateID	
Assay Type	Absolute Quantification
Run DateTime	17.07.20 18:16:01
Operator	
ThermalCycleParams	

Sample Information

Well	Sample Name	Detector Name	Reporter	Task	Ct	Tm Value	Tm Type	Quantity	Qty Mean	Qty StdDev	Ct Median	Ct Mean	Ct StdDev	Ct Type	Template Name	Baseline Type	Baseline Start	Baseline Stop	Threshold Type	Threshold	FOS	HMD	LME	EW	BPR	NAW	HNS	HRN	EAF	BAF	TAF	CAF	
180	H12	SYBR	SYBR	Unknown	23.669653	85.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
181	H13	SYBR	SYBR	Unknown	21.105322	84.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
182	H14	SYBR	SYBR	Unknown	22.301544	85.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
183	H15	SYBR	SYBR	Unknown	23.480984	87.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
184	H16	SYBR	SYBR	Unknown	Undetermined	66.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408							true					true	
196	I4	SYBR	SYBR	Unknown	24.890844	86.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
197	I5	SYBR	SYBR	Unknown	24.689102	87.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
198	I6	SYBR	SYBR	Unknown	22.511217	86.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
199	I7	SYBR	SYBR	Unknown	22.338596	84.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
200	I8	SYBR	SYBR	Unknown	26.646477	89.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
201	I9	SYBR	SYBR	Unknown	27.681408	87.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
202	I10	SYBR	SYBR	Unknown	23.62553	86.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
203	I11	SYBR	SYBR	Unknown	30.805515	90.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
204	I12	SYBR	SYBR	Unknown	23.72864	85.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
205	I13	SYBR	SYBR	Unknown	21.335226	84.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
206	I14	SYBR	SYBR	Unknown	22.125294	85.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
207	I15	SYBR	SYBR	Unknown	23.296343	87.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
208	I16	SYBR	SYBR	Unknown	24.383022	81.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
220	J4	SYBR	SYBR	Unknown	24.719196	86.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
221	J5	SYBR	SYBR	Unknown	24.516434	87.6	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
222	J6	SYBR	SYBR	Unknown	22.346743	86.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
223	J7	SYBR	SYBR	Unknown	22.216957	84.1	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
224	J8	SYBR	SYBR	Unknown	26.88098	89.0	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
225	J9	SYBR	SYBR	Unknown	27.712082	87.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
226	J10	SYBR	SYBR	Unknown	23.921528	86.2	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
227	J11	SYBR	SYBR	Unknown	31.349577	90.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
228	J12	SYBR	SYBR	Unknown	23.903822	85.4	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
229	J13	SYBR	SYBR	Unknown	21.44593	84.8	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
230	J14	SYBR	SYBR	Unknown	22.265078	85.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
231	J15	SYBR	SYBR	Unknown	23.424686	87.3	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
232	J16	SYBR	SYBR	Unknown	24.583826	81.9	Auto Tm							Automatic Ct		Automatic			Automatic	0.058216408													
Slope		cycles/log decade
Y-Intercept		
R^2		



NAP	LPL
	
