"Well","Gene","Ct","TmValue","Bacteria","TDate","SamP","BioRep","PurifRep"
299,"Lnt",27.835327,90.3,"WT","2020-07-18","M11","df2","rep1"
300,"miaB",23.159184,85.1,"WT","2020-07-18","M12","df2","rep1"
301,"ybeX",21.841642,84.6,"WT","2020-07-18","M13","df2","rep1"
302,"ybeY",26.011961,85.9,"WT","2020-07-18","M14","df2","rep1"
304,"ybeZY",24.669264,87.5,"WT","2020-07-18","M16","df2","rep1"
316,"CorA",24.65212,87.1,"WT","2020-07-18","N4","df2","rep1"
317,"cysG",22.968582,87.6,"WT","2020-07-18","N5","df2","rep1"
318,"frr",19.980679,86,"WT","2020-07-18","N6","df2","rep1"
319,"gyrA",22.5683,84.1,"WT","2020-07-18","N7","df2","rep1"
320,"hcaT",27.397251,89.2,"WT","2020-07-18","N8","df2","rep1"
321,"idnT",27.901983,87.3,"WT","2020-07-18","N9","df2","rep1"
322,"Lnt2",24.683365,86.5,"WT","2020-07-18","N10","df2","rep1"
323,"Lnt",27.03525,90.3,"WT","2020-07-18","N11","df2","rep1"
324,"miaB",22.671284,85.1,"WT","2020-07-18","N12","df2","rep1"
325,"ybeX",22.844954,84.8,"WT","2020-07-18","N13","df2","rep1"
326,"ybeY",26.424377,86.2,"WT","2020-07-18","N14","df2","rep1"
327,"ybeZ",26.267784,81.8,"WT","2020-07-18","N15","df2","rep1"
328,"ybeZY",24.418406,87.2,"WT","2020-07-18","N16","df2","rep1"
28,"CorA",21.903805,87.9,"WT","2020-07-20","B4","df1","rep1"
30,"frr",16.820683,89.6,"WT","2020-07-20","B6","df1","rep1"
31,"gyrA",20.95666,86.5,"WT","2020-07-20","B7","df1","rep1"
32,"hcaT",25.069971,91.7,"WT","2020-07-20","B8","df1","rep1"
33,"idnT",26.447752,89,"WT","2020-07-20","B9","df1","rep1"
34,"Lnt2",23.16686,87.9,"WT","2020-07-20","B10","df1","rep1"
36,"miaB",20.075466,85.7,"WT","2020-07-20","B12","df1","rep1"
37,"ybeX",19.586515,85.1,"WT","2020-07-20","B13","df1","rep1"
38,"ybeY",24.65928,86.5,"WT","2020-07-20","B14","df1","rep1"
39,"ybeZ",22.593113,87.8,"WT","2020-07-20","B15","df1","rep1"
40,"ybeZY",21.394636,82.1,"WT","2020-07-20","B16","df1","rep1"
52,"CorA",22.00018,87.4,"WT","2020-07-20","C4","df1","rep1"
53,"cysG",21.377703,87.9,"WT","2020-07-20","C5","df1","rep1"
54,"frr",17.22435,86.5,"WT","2020-07-20","C6","df1","rep1"
55,"gyrA",20.834146,84.4,"WT","2020-07-20","C7","df1","rep1"
56,"hcaT",25.330172,89.5,"WT","2020-07-20","C8","df1","rep1"
57,"idnT",26.501186,87.9,"WT","2020-07-20","C9","df1","rep1"
58,"Lnt2",23.5265,86.8,"WT","2020-07-20","C10","df1","rep1"
59,"Lnt",24.560835,90.6,"WT","2020-07-20","C11","df1","rep1"
60,"miaB",19.927794,85.7,"WT","2020-07-20","C12","df1","rep1"
61,"ybeX",19.497925,85.1,"WT","2020-07-20","C13","df1","rep1"
62,"ybeY",24.527534,86.5,"WT","2020-07-20","C14","df1","rep1"
63,"ybeZ",22.6916,87.5,"WT","2020-07-20","C15","df1","rep1"
64,"ybeZY",21.462866,82.1,"WT","2020-07-20","C16","df1","rep1"
77,"cysG",21.540524,87.9,"WT","2020-07-20","D5","df1","rep1"
78,"frr",17.326569,86.5,"WT","2020-07-20","D6","df1","rep1"
79,"gyrA",20.853552,84.4,"WT","2020-07-20","D7","df1","rep1"
80,"hcaT",25.336771,89.3,"WT","2020-07-20","D8","df1","rep1"
81,"idnT",26.46425,87.9,"WT","2020-07-20","D9","df1","rep1"
82,"Lnt2",23.588978,86.8,"WT","2020-07-20","D10","df1","rep1"
83,"Lnt",24.78436,90.6,"WT","2020-07-20","D11","df1","rep1"
84,"miaB",20.08076,85.7,"WT","2020-07-20","D12","df1","rep1"
85,"ybeX",19.630482,85.1,"WT","2020-07-20","D13","df1","rep1"
86,"ybeY",24.84928,86.2,"WT","2020-07-20","D14","df1","rep1"
87,"ybeZ",22.886562,87.5,"WT","2020-07-20","D15","df1","rep1"
88,"ybeZY",21.412394,82.1,"WT","2020-07-20","D16","df1","rep1"
124,"CorA",22.245764,87.1,"WT","2020-07-20","F4","df1","rep2"
125,"cysG",21.699888,87.9,"WT","2020-07-20","F5","df1","rep2"
126,"frr",17.582348,86.5,"WT","2020-07-20","F6","df1","rep2"
127,"gyrA",21.232977,84.4,"WT","2020-07-20","F7","df1","rep2"
128,"hcaT",25.591473,89.3,"WT","2020-07-20","F8","df1","rep2"
129,"idnT",26.743979,87.6,"WT","2020-07-20","F9","df1","rep2"
130,"Lnt2",23.784706,86.5,"WT","2020-07-20","F10","df1","rep2"
131,"Lnt",24.968124,90.6,"WT","2020-07-20","F11","df1","rep2"
132,"miaB",20.42385,85.4,"WT","2020-07-20","F12","df1","rep2"
133,"ybeX",19.817532,84.9,"WT","2020-07-20","F13","df1","rep2"
134,"ybeY",24.822662,86.2,"WT","2020-07-20","F14","df1","rep2"
