"Well","Gene","Detector Name","Reporter","Task","Ct","TmValue","Tm Type","Ct Type","Baseline Type","Threshold Type","Threshold","Bacteria","TDate","SamP"
150,"frr","SYBR","SYBR","Unknown",18.62917,85.7,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","G6"
151,"gyrA","SYBR","SYBR","Unknown",22.413496,84.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","G7"
152,"hcaT","SYBR","SYBR","Unknown",27.174967,88.7,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","G8"
154,"Lnt2","SYBR","SYBR","Unknown",24.53548,86.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","G10"
155,"Lnt","SYBR","SYBR","Unknown",28.007025,90.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","G11"
157,"ybeX","SYBR","SYBR","Unknown",22.159977,84.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","G13"
159,"ybeZ","SYBR","SYBR","Unknown",23.930878,87.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","G15"
172,"CorA","SYBR","SYBR","Unknown",23.986141,87.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","H4"
173,"cysG","SYBR","SYBR","Unknown",23.542986,87.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","H5"
174,"frr","SYBR","SYBR","Unknown",19.526373,86.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","H6"
175,"gyrA","SYBR","SYBR","Unknown",22.22379,84.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","H7"
176,"hcaT","SYBR","SYBR","Unknown",26.9409,89.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","H8"
179,"Lnt","SYBR","SYBR","Unknown",27.761711,90.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","H11"
